date,epex_price,load_mw,mean_sent,n_headlines,sent_smooth,ttf_price,ret_1d,fwd1_ret,sent_lag1,sent_lag2,sent_lag3,sent_lag5,sent_lag7,ret_vol_10,load_chg,load_z,ttf_ret_1d,ttf_ret_lag1,ttf_ret_lag2,ttf_ret_lag3
2018-10-11,54.35166666666667,60207.375,0.0,0,0.0,25.76000022888184,-0.1257866271705549,0.04450185520223249,0.0,0.0,0.0,0.0,0.0,0.8708019185420914,0.01986186121752964,0.805842426728782,-0.01754382519142017,-0.02291782344326665,-0.014144020521446032,-0.0243727711280739
2018-10-12,56.77041666666667,58777.5,0.0,0,0.0,26.6299991607666,0.04450185520223249,-0.20941805077468456,0.0,0.0,0.0,0.0,0.0,0.856927626948879,-0.02374916694175755,0.5477880890523867,0.033773250161284185,-0.01754382519142017,-0.02291782344326665,-0.014144020521446032
2018-10-13,44.88166666666667,49672.16666666666,0.0,0,0.0,26.6299991607666,-0.20941805077468456,-0.37422481339819513,0.0,0.0,0.0,0.0,0.0,0.8287378524359664,-0.15491188521684907,-1.0562053284409065,0.0,0.033773250161284185,-0.01754382519142017,-0.02291782344326665
2018-10-14,28.085833333333337,45739.583333333336,0.0,0,0.0,26.6299991607666,-0.37422481339819513,1.1166958431000205,0.0,0.0,0.0,0.0,0.0,0.15769126967978042,-0.07917076296920111,-1.6199974034163598,0.0,0.0,0.033773250161284185,-0.01754382519142017
2018-10-15,59.44916666666666,57223.958333333336,0.0,0,0.0,26.625,1.1166958431000205,0.2110836989584941,0.0,0.0,0.0,0.0,0.0,0.4062003848656274,0.25108175814165334,0.32375686352245653,-0.0001877266588113935,0.0,0.0,0.033773250161284185
2018-10-16,71.99791666666667,58546.91666666666,0.0,0,0.0,26.32999992370605,0.2110836989584941,-0.015104603721172616,0.0,0.0,0.0,0.0,0.0,0.40770454606451784,0.02311895876945469,0.5065634509349741,-0.011079815072073229,-0.0001877266588113935,0.0,0.0
2018-10-17,70.91041666666666,58610.5,0.0,0,0.0,25.940000534057617,-0.015104603721172616,-0.10923994476598986,0.0,0.0,0.0,0.0,0.0,0.40658928364587527,0.0010860236021539293,0.5060280166089953,-0.01481197838125703,-0.011079815072073229,-0.0001877266588113935,0.0
2018-10-18,63.16416666666667,59527.375,0.0,0,0.0,26.024999618530277,-0.10923994476598986,0.07043154742272106,0.0,0.0,0.0,0.0,0.0,0.4095104012431268,0.01564352803678526,0.6877618096887155,0.0032767572368035403,-0.01481197838125703,-0.011079815072073229,-0.0001877266588113935
2018-10-19,67.61291666666666,58035.75,0.0,0,0.0,26.86000061035156,0.07043154742272106,-0.1217839293527494,0.0,0.0,0.0,0.0,0.0,0.4089008055069664,-0.02505779903783767,0.4253613129549048,0.0320845726824428,0.0032767572368035403,-0.01481197838125703,-0.011079815072073229
2018-10-20,59.37875,50846.375,0.0,0,0.0,26.86000061035156,-0.1217839293527494,-0.06520289946599866,0.0,0.0,0.0,0.0,0.0,0.4084510308604919,-0.12387838530560902,-0.8831238431503846,0.0,0.0320845726824428,0.0032767572368035403,-0.01481197838125703
2018-10-21,55.50708333333333,47370.875,0.0,0,0.0,26.86000061035156,-0.06520289946599866,0.011222291449289656,0.0,0.0,0.0,0.0,0.0,0.4060171824962083,-0.06835295534834096,-1.4317040776305752,0.0,0.0,0.0320845726824428,0.0032767572368035403
2018-10-22,56.13,60573.458333333336,0.0,0,0.0,26.114999771118164,0.011222291449289656,-0.3831729912702655,0.0,0.0,0.0,0.0,0.0,0.4062470574431085,0.2787067651448982,0.9679262066796818,-0.0277364416345649,0.0,0.0,0.0320845726824428
2018-10-23,34.6225,63854.16666666666,0.0,0,0.0,25.665000915527344,-0.3831729912702655,0.2873733362216284,0.0,0.0,0.0,0.0,0.0,0.4220524653901718,0.05416082263752742,1.4876978911165646,-0.017231432492237464,-0.0277364416345649,0.0,0.0
