date,epex_price,load_mw,mean_sent,n_headlines,sent_smooth,ttf_price,dprice_1d,fwd1_dprice,dprice_lag1,sent_lag1,dprice_lag2,sent_lag2,dprice_lag3,sent_lag3,dprice_lag5,sent_lag5,dprice_lag7,sent_lag7,load_chg,load_z,dprice_vol_10,ttf_d1,ttf_d1_lag1,ttf_d1_lag2,ttf_d1_lag3
2018-10-11,54.35166666666667,60207.375,0.0,0,0.0,25.76000022888184,-7.820416666666674,2.418750000000003,-9.392916666666657,0.0,7.681249999999999,0.0,8.96541666666667,0.0,-2.3816666666666606,0.0,46.858333333333334,0.0,0.01986186121752964,0.805842426728782,19.596661647508128,-0.45999908447264914,-0.6149997711181676,-0.3850002288818324,-0.6800003051757884
2018-10-12,56.77041666666667,58777.5,0.0,0,0.0,26.6299991607666,2.418750000000003,-11.888750000000002,-7.820416666666674,0.0,-9.392916666666657,0.0,7.681249999999999,0.0,-2.995833333333337,0.0,-4.85625000000001,0.0,-0.02374916694175755,0.5477880890523867,18.51691447333098,0.8699989318847621,-0.45999908447264914,-0.6149997711181676,-0.3850002288818324
2018-10-13,44.88166666666667,49672.16666666666,0.0,0,0.0,26.6299991607666,-11.888750000000002,-16.79583333333333,2.418750000000003,0.0,-7.820416666666674,0.0,-9.392916666666657,0.0,8.96541666666667,0.0,-2.3816666666666606,0.0,-0.15491188521684907,-1.0562053284409065,16.994119947423666,0.0,0.8699989318847621,-0.45999908447264914,-0.6149997711181676
2018-10-14,28.085833333333337,45739.583333333336,0.0,0,0.0,26.6299991607666,-16.79583333333333,31.363333333333326,-11.888750000000002,0.0,2.418750000000003,0.0,-7.820416666666674,0.0,7.681249999999999,0.0,-2.995833333333337,0.0,-0.07917076296920111,-1.6199974034163598,8.292558056147893,0.0,0.0,0.8699989318847621,-0.45999908447264914
2018-10-15,59.44916666666666,57223.958333333336,0.0,0,0.0,26.625,31.363333333333326,12.548750000000005,-16.79583333333333,0.0,-11.888750000000002,0.0,2.418750000000003,0.0,-9.392916666666657,0.0,8.96541666666667,0.0,0.25108175814165334,0.32375686352245653,13.809389680810714,-0.0049991607666015625,0.0,0.0,0.8699989318847621
2018-10-16,71.99791666666667,58546.91666666666,0.0,0,0.0,26.32999992370605,12.548750000000005,-1.0875000000000057,31.363333333333326,0.0,-16.79583333333333,0.0,-11.888750000000002,0.0,-7.820416666666674,0.0,7.681249999999999,0.0,0.02311895876945469,0.5065634509349741,14.330730243074443,-0.29500007629394887,-0.0049991607666015625,0.0,0.0
2018-10-17,70.91041666666666,58610.5,0.0,0,0.0,25.940000534057617,-1.0875000000000057,-7.746249999999996,12.548750000000005,0.0,31.363333333333326,0.0,-16.79583333333333,0.0,2.418750000000003,0.0,-9.392916666666657,0.0,0.0010860236021539293,0.5060280166089953,14.278175385527799,-0.38999938964843395,-0.29500007629394887,-0.0049991607666015625,0.0
2018-10-18,63.16416666666667,59527.375,0.0,0,0.0,26.024999618530277,-7.746249999999996,4.448749999999997,-1.0875000000000057,0.0,12.548750000000005,0.0,31.363333333333326,0.0,-11.888750000000002,0.0,-7.820416666666674,0.0,0.01564352803678526,0.6877618096887155,14.298194202343057,0.0849990844726598,-0.38999938964843395,-0.29500007629394887,-0.0049991607666015625
2018-10-19,67.61291666666666,58035.75,0.0,0,0.0,26.86000061035156,4.448749999999997,-8.234166666666667,-7.746249999999996,0.0,-1.0875000000000057,0.0,12.548750000000005,0.0,-16.79583333333333,0.0,2.418750000000003,0.0,-0.02505779903783767,0.4253613129549048,14.13909032034259,0.835000991821282,0.0849990844726598,-0.38999938964843395,-0.29500007629394887
2018-10-20,59.37875,50846.375,0.0,0,0.0,26.86000061035156,-8.234166666666667,-3.8716666666666697,4.448749999999997,0.0,-7.746249999999996,0.0,-1.0875000000000057,0.0,31.363333333333326,0.0,-11.888750000000002,0.0,-0.12387838530560902,-0.8831238431503846,14.061693900352909,0.0,0.835000991821282,0.0849990844726598,-0.38999938964843395
